OBJECTID,FIPS6,TOWNNAME,TOWNNAMEMC,CNTY,ShapeSTArea,ShapeSTLength
224,21055,MIDDLETOWN SPRINGS,Middletown Springs,21,58813219.612175,31619.7476195097
225,27110,WEST WINDSOR,West Windsor,27,64375001.1560684,33008.2261346072
226,27035,CHESTER,Chester,27,144952850.761399,48723.1535959133
227,27030,CAVENDISH,Cavendish,27,102614147.655493,40664.4218744437
228,27011,BALTIMORE,Baltimore,27,12336838.4255252,15861.0995781159
229,27100,WEATHERSFIELD,Weathersfield,27,114037542.986407,45728.5413151384
230,19080,NEWPORT TOWN,Newport Town,19,112732369.765017,52789.324640041
231,19035,DERBY,Derby,19,148529803.048732,64555.162161482
232,19025,COVENTRY,Coventry,19,72029982.5722607,34357.9442077851
233,19075,NEWPORT CITY,Newport City,19,19742345.6923211,25838.7586728833
234,23065,NORTHFIELD,Northfield,23,115909985.783237,47045.4942193625
235,23080,WAITSFIELD,Waitsfield,23,67142072.5911748,35347.7523588854
236,25070,ROCKINGHAM,Rockingham,25,109214261.018909,46272.6887507477
237,25005,ATHENS,Athens,25,36386666.0380316,29260.0802852635
238,1035,GRANVILLE,Granville,1,132031155.358885,46977.6502621286
239,23075,ROXBURY,Roxbury,23,108124978.216448,41910.2249358494
240,23085,WARREN,Warren,23,103944760.370108,41859.9519355987
241,1030,GOSHEN,Goshen,1,53723179.0144872,37046.9537198029
242,1115,WHITING,Whiting,1,35491951.8060616,27680.5542122356
243,1045,LEICESTER,Leicester,1,56177055.0871895,32666.7155900658
244,21020,CHITTENDEN,Chittenden,21,191543033.402284,57806.3068523234
245,21115,SUDBURY,Sudbury,21,57344315.5379095,34731.1275513941
246,21040,HUBBARDTON,Hubbardton,21,74037625.3158918,34836.6618667495
247,21015,CASTLETON,Castleton,21,109780844.004873,42287.4543376625
248,21045,IRA,Ira,21,57676859.3888409,39941.2886186207
249,21010,BRANDON,Brandon,21,103714543.652735,42913.0502165642
250,21080,PITTSFORD,Pittsford,21,112789581.267559,53488.4138148685
251,21140,WEST RUTLAND,West Rutland,21,46826497.7604,34698.7234863098
252,21090,PROCTOR,Proctor,21,19627122.5546041,32988.0863425091
253,21100,RUTLAND,Rutland,21,49788312.7540476,62894.8113299164
254,21050,MENDON,Mendon,21,98267210.5454196,53373.3943817118
255,21025,CLARENDON,Clarendon,21,81639420.0781967,38371.9419195145
257,27050,LUDLOW,Ludlow,27,91365985.9303814,42206.4291298735
